Company	Stock_Code	Industry	Index
DOLPHIN INTERNATIONAL BERHAD	5265	UNKNOWN	Others
DOMINANT ENTERPRISE BHD	7169	INDUSTRIAL PRODUCTS & SERVICES	Others
DPI HOLDINGS BERHAD	205	UNKNOWN	Others
DPS RESOURCES BHD	7198	UNKNOWN	Others
DRB-HICOM BHD	1619	UNKNOWN	Others
DUFU TECHNOLOGY CORP. BHD	7233	INDUSTRIAL PRODUCTS & SERVICES	Others
DUTALAND BHD	3948	PLANTATION	Others
DUTCH LADY MILK INDUSTRIES BHD	3026	UNKNOWN	Others
E.A.TECHNIQUE (M) BERHAD	5259	UNKNOWN	Others
EA HOLDINGS BERHAD	154	UNKNOWN	Others
EASTERN & ORIENTAL BHD	3417	PROPERTY	Others
EASTLAND EQUITY BHD	2097	UNKNOWN	Others
ECM LIBRA FINANCIAL GRP BHD	2143	UNKNOWN	Others
ECO WORLD DEVELOPMENT GROUP BERHAD	8206	UNKNOWN	Others
ECO WORLD INTERNATIONAL BERHAD	5283	PROPERTY	Others
ECOBUILT HOLDINGS BERHAD	59	UNKNOWN	Others
ECOFIRST CONSOLIDATED BHD	3557	PROPERTY	Others
ECONPILE HOLDINGS BHD	5253	CONSTRUCTION	Others
EDARAN BHD	5036	UNKNOWN	Others
EDEN INC. BHD	7471	UNKNOWN	Others
EDUSPEC HOLDINGS BERHAD	107	UNKNOWN	Others
EFFICIENT E-SOLUTIONS BHD	64	UNKNOWN	Others
EG INDUSTRIES BHD	8907	UNKNOWN	Others
EITA RESOURCES BERHAD	5208	UNKNOWN	Others
EKA NOODLES BERHAD	7182	UNKNOWN	Others
EKOVEST BHD	8877	CONSTRUCTION	Others
EKSONS CORPORATION BHD	9016	UNKNOWN	Others
ELK-DESA RESOURCES BERHAD	5228	FINANCIAL SERVICES	Others
ELSOFT RESEARCH BHD	90	TECHNOLOGY	Others
EMICO HOLDINGS BHD	9091	UNKNOWN	Others
ENCORP BHD	6076	UNKNOWN	Others
ENG KAH CORPORATION BHD	7149	UNKNOWN	Others
ENGTEX GROUP BHD	5056	INDUSTRIAL PRODUCTS & SERVICES	Others
ENRA GROUP BERHAD	8613	PROPERTY	Others
EONMETALL GROUP BHD	7217	UNKNOWN	Others
EP MANUFACTURING BHD	7773	UNKNOWN	Others
ES CERAMICS TECHNOLOGY BHD	100	UNKNOWN	Others
ESTHETICS INTERNATIONAL GROUP	5081	UNKNOWN	Others
EUPE CORPORATION BHD	6815	UNKNOWN	Others
EURO HOLDINGS BHD	7208	UNKNOWN	Others
EUROSPAN HOLDINGS BHD	7094	UNKNOWN	Others
EVERGREEN FIBREBOARD BHD	5101	INDUSTRIAL PRODUCTS & SERVICES	Others
EVERSAFE RUBBER BERHAD	190	UNKNOWN	Others
EVERSENDAI CORPORATION BERHAD	5205	CONSTRUCTION	Others
EWEIN BERHAD	7249	UNKNOWN	Others
EXCEL FORCE MSC BHD	65	UNKNOWN	Others
FACB INDUSTRIES INCORPORATED	2984	UNKNOWN	Others
FAJARBARU BUILDER GRP BHD	7047	UNKNOWN	Others
FAR EAST HOLDINGS BHD	5029	PLANTATION	Others
FARLIM GROUP (M) BHD	6041	UNKNOWN	Others
FAVELLE FAVCO BHD	7229	INDUSTRIAL PRODUCTS & SERVICES	Others
FCW HOLDINGS BHD	2755	UNKNOWN	Others
FEDERAL INTERNATIONAL HOLDINGS BERHAD	8605	UNKNOWN	Others
FGV HOLDINGS BERHAD	5222	UNKNOWN	Others
FIAMMA HOLDINGS BHD	6939	CONSUMER PRODUCTS & SERVICES	Others
FIBON BERHAD	149	UNKNOWN	Others
FIMA CORPORATION BHD	3107	INDUSTRIAL PRODUCTS & SERVICES	Others
FINTEC GLOBAL BERHAD	150	UNKNOWN	Others
FITTERS DIVERSIFIED BHD	9318	UNKNOWN	Others
FOCUS DYNAMICS GROUP BERHAD	116	CONSUMER PRODUCTS & SERVICES	Others
FOCUS LUMBER BERHAD	5197	UNKNOWN	Others
FOCUS POINT HOLDINGS BERHAD	157	UNKNOWN	Others
FORMOSA PROSONIC INDUSTRIES	9172	CONSUMER PRODUCTS & SERVICES	Others
FOUNDPAC GROUP BERHAD	5277	UNKNOWN	Others
FRASER & NEAVE HOLDINGS BHD	3689	UNKNOWN	Others
FREIGHT MANAGEMENT HLDGS BHD	7210	UNKNOWN	Others
FRONTKEN CORPORATION BHD	128	TECHNOLOGY	Others
FSBM HOLDINGS BHD	9377	UNKNOWN	Others
G NEPTUNE BERHAD	45	UNKNOWN	Others
G3 GLOBAL BERHAD	7184	CONSUMER PRODUCTS & SERVICES	Others
GABUNGAN AQRS BERHAD	5226	CONSTRUCTION	Others
GADANG HOLDINGS BHD	9261	CONSTRUCTION	Others
GAGASAN NADI CERGAS BERHAD	206	UNKNOWN	Others
GAMUDA BHD	5398	UNKNOWN	Others
GAS MALAYSIA BERHAD	5209	UNKNOWN	Others
GD EXPRESS CARRIER BHD	78	TRANSPORTATION & LOGISTICS	Others
GDB HOLDINGS BERHAD	198	UNKNOWN	Others
GENETEC TECHNOLOGY BERHAD	104	UNKNOWN	Others
GENTING PLANTATIONS BERHAD	2291	UNKNOWN	Others
GEORGE KENT (M) BHD	3204	CONSTRUCTION	Others
GE-SHEN CORPORATION BHD	7197	UNKNOWN	Others
GETS GLOBAL BERHAD	5079	UNKNOWN	Others
GFM SERVICES BERHAD	39	INDUSTRIAL PRODUCTS & SERVICES	Others
GHL SYSTEMS BHD	21	TECHNOLOGY	Others
GLOBAL ORIENTAL BERHAD	1147	UNKNOWN	Others
GLOBALTEC FORMATION BERHAD	5220	UNKNOWN	Others
GLOBETRONICS TECHNOLOGY BHD	7022	TECHNOLOGY	Others
GLOMAC BHD	5020	PROPERTY	Others
GOLDEN LAND BERHAD	7382	UNKNOWN	Others
GOLDEN PHAROS BHD	5649	UNKNOWN	Others
GOODWAY INTEGRATED INDUSTRIES	7192	UNKNOWN	Others
GOPENG BHD	2135	UNKNOWN	Others
GPA HOLDINGS BHD	7096	UNKNOWN	Others
GRAND CENTRAL ENTERPRISES BHD	5592	UNKNOWN	Others
GRAND HOOVER BHD	7010	UNKNOWN	Others
GRAND-FLO BERHAD	56	UNKNOWN	Others
GREEN OCEAN CORPORATION BERHAD	74	UNKNOWN	Others
GREEN PACKET BHD	82	TELECOMMUNICATIONS & MEDIA	Others
GREENYIELD BHD	136	UNKNOWN	Others
GROMUTUAL BHD	9962	UNKNOWN	Others
GSB GROUP BHD	7077	UNKNOWN	Others
GUAN CHONG BHD	5102	CONSUMER PRODUCTS & SERVICES	Others
GUH HOLDINGS BHD	3247	UNKNOWN	Others
GUNUNG CAPITAL BERHAD	7676	UNKNOWN	Others
GUOCOLAND (MALAYSIA) BHD	1503	PROPERTY	Others
HAI-O ENTERPRISE BHD	7668	CONSUMER PRODUCTS & SERVICES	Others
HALEX HOLDINGS BERHAD	5151	UNKNOWN	Others
HANDAL RESOURCES BERHAD	7253	UNKNOWN	Others
HAP SENG PLANTATIONS HOLDINGS	5138	PLANTATION	Others
HARBOUR-LINK GROUP BHD	2062	TRANSPORTATION & LOGISTICS	Others
HARN LEN CORPORATION BHD	7501	UNKNOWN	Others
HARRISONS HOLDINGS (M) BHD	5008	CONSUMER PRODUCTS & SERVICES	Others
HB GLOBAL LIMITED	5187	UNKNOWN	Others
HCK CAPITAL GROUP BERHAD	7105	PROPERTY	Others
HEINEKEN MALAYSIA BERHAD	3255	UNKNOWN	Others
HEITECH PADU BHD	5028	UNKNOWN	Others
HEKTAR REITS	5121	UNKNOWN	Others
HENG HUAT RESOURCES GROUP BHD	175	UNKNOWN	Others
HENGYUAN REFINING COMPANY BERHAD	4324	ENERGY	Others
HEVEABOARD BHD	5095	INDUSTRIAL PRODUCTS & SERVICES	Others
HEXZA CORPORATION BHD	3298	UNKNOWN	Others
HIAP HUAT HOLDINGS BHD	160	UNKNOWN	Others
HIAP TECK VENTURE BHD	5072	INDUSTRIAL PRODUCTS & SERVICES	Others
HIBISCUS PETROLEUM BHD	5199	ENERGY	Others
HIL INDUSTRIES BHD	8443	UNKNOWN	Others
HLT GLOBAL BERHAD	188	UNKNOWN	Others
HO HUP CONSTRUCTION COMPANY	5169	UNKNOWN	Others
HO WAH GENTING BHD	9601	UNKNOWN	Others
HOCK HENG STONE INDUSTRIES BHD	5165	UNKNOWN	Others
HOCK SENG LEE BHD	6238	CONSTRUCTION	Others
HOMERITZ CORPORATION BERHAD	5160	CONSUMER PRODUCTS & SERVICES	Others
HONG LEONG CAPITAL BERHAD	5274	UNKNOWN	Others
HONG LEONG INDUSTRIES BHD	3301	UNKNOWN	Others
HSS ENGINEERS BERHAD	185	INDUSTRIAL PRODUCTS & SERVICES	Others
HUA YANG BHD	5062	UNKNOWN	Others
HUBLINE BHD	7013	UNKNOWN	Others
HUME INDUSTRIES BHD	5000	INDUSTRIAL PRODUCTS & SERVICES	Others
HUP SENG INDUSTRIES BHD	5024	CONSUMER PRODUCTS & SERVICES	Others
HWA TAI INDUSTRIES BHD	8478	UNKNOWN	Others
I-BHD	4251	PROPERTY	Others
IBRACO BHD	5084	PROPERTY	Others
ICAPITAL.BIZ BHD	5108	CLOSED END FUND	Others
ICON OFFSHORE BERHAD	5255	UNKNOWN	Others
IDEAL UNITED BINTANG INTERNATIONAL BERHAD	9687	UNKNOWN	Others
iDIMENSION CONSOLIDATED BHD	174	UNKNOWN	Others
IFCA MSC BHD	23	UNKNOWN	Others
IGB BERHAD	5606	PROPERTY	Others
IGB REAL ESTATE INV TRUST	5227	UNKNOWN	Others
IJM CORPORATION BHD	3336	UNKNOWN	Others
IJM PLANTATIONS BHD	2216	PLANTATION	Others
IKHMAS JAYA GROUP BERHAD	5268	UNKNOWN	Others
IMASPRO CORPORATION BHD	7222	UNKNOWN	Others
INARI AMERTRON BERHAD	166	UNKNOWN	Others
INCH KENNETH KAJANG RUBBER PLC	2607	PLANTATION	Others
INDUSTRONICS BHD	9393	UNKNOWN	Others
INIX TECHNOLOGIES HOLDINGS BHD	94	UNKNOWN	Others
INNITY CORPORATION BHD	147	UNKNOWN	Others
INNOPRISE PLANTATIONS BERHAD	6262	PLANTATION	Others
INSAS BHD	3379	FINANCIAL SERVICES	Others
INTA BINA GROUP BERHAD	192	UNKNOWN	Others
INTEGRATED LOGISTICS BHD	5614	UNKNOWN	Others
IOI PROPERTIES GROUP BERHAD	5249	UNKNOWN	Others
IPMUDA BHD	5673	UNKNOWN	Others
IQ GROUP HOLDINGS BHD	5107	UNKNOWN	Others
IREKA CORPORATION BHD	8834	UNKNOWN	Others
IRE-TEX CORPORATION BHD	7183	UNKNOWN	Others
IRIS CORPORATION BHD	10	TECHNOLOGY	Others
ISKANDAR WATERFRONT CITY BERHAD	1589	PROPERTY	Others
IVORY PROPERTIES GROUP BERHAD	5175	UNKNOWN	Others
JADI IMAGING HOLDINGS BHD	7223	UNKNOWN	Others
JAG BERHAD	24	UNKNOWN	Others
JAKS RESOURCES BERHAD	4723	CONSTRUCTION	Others
JASA KITA BHD	8648	UNKNOWN	Others
JAYA TIASA HOLDINGS BHD	4383	PLANTATION	Others
JAYCORP BHD	7152	UNKNOWN	Others
JCBNEXT BERHAD	58	INDUSTRIAL PRODUCTS & SERVICES	Others
JCY INTERNATIONAL BERHAD	5161	TECHNOLOGY	Others
JERASIA CAPITAL BHD	8931	UNKNOWN	Others
JF TECHNOLOGY BHD	146	UNKNOWN	Others
JHM CONSOLIDATION BHD	127	TECHNOLOGY	Others
JIANKUN INTERNATIONAL BERHAD	8923	UNKNOWN	Others
JKG LAND BERHAD	6769	UNKNOWN	Others
JM EDUCATION GROUP BERHAD	3003	UNKNOWN	Others
JMR CONGLOMERATION BHD	7043	UNKNOWN	Others
JOHAN HOLDINGS BHD	3441	UNKNOWN	Others
JOHORE TIN BHD	7167	CONSUMER PRODUCTS & SERVICES	Others
K. SENG SENG CORPORATION BHD	5192	UNKNOWN	Others
